Vereda,MaterialTecho,Habitantes/Vivienda,Latitud,Longitud,Humedades,Temperatura,Altitud_Vereda,Uso_Recipiente_Para_Agua,Medidas_Contra_HP,Area_HA_Vereda,Viviendas_Veredas,Hogares_Vereda,Personas_Vereda,Unidad_Productiva,Unidad_Prod_Agro,Unidad_Prod_No_Agro,Productores_Res_En_Vereda,Promedio_Dias_Con_Agua,Zancudos,Ratas,Cucarachas,Murcielagos,Antesedentes_CG,Antesedentes_Ulceras,Antesedentes_Gastritis,Convivencia_infeccion,Contaco_Animales_Granja,Comparten_Cubiero,Comparten_Cepillo,Fuente_Combustible,Dias_Ducha,Cocina_Exclusiva,Fuente_Agua,Ubicacion_Sanitario,Dormitorios/Vivienda,Cuartos/Vivienda,Tipo_Vivienda,Familias_Usando_Cocina,Alcantarillado,AnimalDomestico,Cepillado,Purificacion,Mal_Olor,Mal_Color,Mal_Sabor,Sedimentos,LavadoAntesComer,Ducha,Basura,MaterialPiso,MaterialPared,Tipo_Sanitarios,Cantidad_Sanitarios,LavadoPostSanitario,Etnia,Prevalencia
"AGUASFRESCAS,BOLIVAR",3.0,3.66667,1.97494,-76.95527,68.0,19.32,898.33333,1.0,0.0,5732.46133,228.0,233.0,560.0,784.0,690.0,94.0,22.0,1.66667,1.0,0.0,0.0,0.0,0.0,0.0,0.33333,0.33333,0.66667,0.0,0.0,2.0,2.0,1.0,0.0,1.0,2.66667,4.33333,1.0,1.0,0.0,1.0,3.0,2.0,0.33333,0.0,0.33333,0.0,1.0,1.0,1.0,7.0,0.0,1.0,0.66667,1.0,3.0,2.0
"ALTODESANJOSE,TIMBIO",0.0,5.8125,2.34485,-76.74114,78.0,16.96,1582.5,1.0,0.0625,3359.62035,548.625,592.0625,1927.625,956.8125,778.625,178.1875,351.4375,2.0,0.0,0.0,0.0625,0.0,0.0,0.0625,0.625,0.0,0.6875,0.0,0.0,3.0,2.0,1.0,0.0,1.0,2.3125,3.3125,1.0,1.3125,0.0,0.8125,2.625,2.0,0.0,0.0625,0.0,0.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0625,1.0,3.0,3.0
"ALTOMU,SANSEBASTIAN",2.0,4.55556,1.84825,-76.76817,85.0,11.77,2422.33333,0.77778,0.0,521.48937,13.88889,14.77778,53.88889,46.11111,45.55556,0.55556,10.33333,1.77778,1.0,0.33333,0.11111,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.22222,1.0,0.0,1.0,2.44444,4.44444,1.0,1.0,0.0,1.0,2.0,2.0,0.11111,0.11111,0.11111,0.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,1.0,2.0,4.0
"ALTOPIENDAMO,PIENDAMO",0.0,4.62222,2.61722,-76.55444,78.0,15.71,1222.6,0.64444,0.0,1312.66312,247.0,265.66667,928.66667,370.66667,322.33333,48.33333,140.0,1.77778,0.62222,0.33333,0.51111,0.0,0.0,0.0,0.31111,0.0,0.68889,0.42222,0.04444,2.0,2.0,1.0,0.0,1.0,2.28889,4.15556,1.0,1.0,0.04444,0.77778,2.82222,2.0,0.02222,0.13333,0.02222,0.22222,0.95556,1.0,1.0,3.0,2.0,1.0,0.97778,0.97778,3.0,2.0
"ALTOSAMANGA,POPAYAN",0.0,4.5,2.41472,-76.58747,81.0,14.76,1984.0,0.5,0.0,1307.11662,516.0,554.0,1869.0,640.0,273.0,367.0,144.0,2.0,1.0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.5,0.0,2.0,1.5,1.0,0.0,0.0,2.5,4.0,1.0,1.0,0.0,1.0,3.0,2.0,0.0,0.5,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0
"ANAYES,ELTAMBO",0.0,4.38158,2.52578,-76.79683,96.0,15.66,668.78947,0.84211,0.59211,5427.40038,932.0,949.0,2891.0,1674.0,1464.0,210.0,433.0,1.96053,0.40789,0.09211,0.27632,0.03947,0.0,0.0,0.72368,0.01316,0.52632,0.01316,0.03947,3.0,1.89474,0.96053,0.0,1.0,2.36842,4.03947,1.0,1.01316,0.01316,0.68421,2.59459,2.0,0.02632,0.28947,0.02632,0.05263,0.97368,0.85526,1.0,3.0,2.0,1.0,1.01316,0.94737,3.0,2.0
"ANAYITOS,ELTAMBO",0.0,4.72222,2.50777,-76.82439,96.0,15.77,1390.33333,0.88889,0.72222,7570.17105,1327.72222,1359.38889,4262.16667,2442.22222,2108.72222,333.5,792.05556,2.0,0.55556,0.0,0.38889,0.0,0.0,0.0,0.5,0.0,0.61111,0.0,0.0,3.0,2.0,0.94444,0.0,1.0,2.38889,4.5,1.0,1.0,0.0,0.77778,2.44444,2.0,0.05556,0.66667,0.0,0.0,1.0,0.94444,1.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0
"ARRAYAN,PIENDAMO",0.0,4.34783,2.724,-76.55214,79.0,16.6,1090.43478,0.86957,0.0,447.7774,109.0,111.0,378.0,225.0,207.0,18.0,50.0,1.82609,0.78261,0.13043,0.3913,0.04348,0.0,0.0,0.30435,0.04348,0.69565,0.34783,0.04348,3.0,2.0,1.0,0.0,1.0,2.13043,3.78261,1.0,1.13043,0.04348,0.95652,2.82609,2.0,0.17391,0.26087,0.04348,0.26087,1.0,1.0,1.0,3.0,2.0,1.0,1.0,0.95652,3.0,3.0
"ARRAYANES,ELTAMBO",3.0,4.5,2.49722,-76.84056,97.0,15.28,1661.75,1.0,1.0,8060.13066,1725.0,1770.0,5573.0,3168.0,2722.0,446.0,1097.0,2.0,0.5,0.0,0.25,0.0,0.0,0.0,0.75,0.0,0.5,0.25,0.0,3.0,1.75,1.0,0.0,1.0,2.25,4.25,1.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,0.0
"AVIRAMA,PAEZ",3.0,4.71429,2.65831,-75.97797,80.0,14.71,1532.57143,0.71429,0.14286,602.89604,6.0,6.0,27.0,7.0,7.0,0.0,5.0,1.85714,0.85714,0.0,0.71429,0.0,0.0,0.0,0.42857,0.0,0.71429,0.28571,0.0,2.0,2.0,1.0,0.0,1.0,2.57143,5.28571,0.0,1.0,1.0,0.71429,2.57143,2.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,0.0,1.0,1.0,2.0,0.0
