,Mal_Olor,Mal_Color,Mal_Sabor,Sedimentos,Prevalencia
0,0.33333,0.0,0.33333,0.0,1.0
1,0.0,0.0625,0.0,0.0,2.0
2,0.11111,0.11111,0.11111,0.0,2.0
3,0.02222,0.13333,0.02222,0.22222,1.0
4,0.0,0.5,0.0,0.0,2.0
5,0.02632,0.28947,0.02632,0.05263,1.0
6,0.05556,0.66667,0.0,0.0,1.0
7,0.17391,0.26087,0.04348,0.26087,1.0
8,0.0,1.0,0.0,0.0,0.0
9,0.0,0.0,0.0,1.0,0.0
10,0.0,0.0,0.0,0.75,1.0
11,0.0,0.125,0.0,0.0,2.0
12,0.0,0.28571,0.0,0.14286,1.0
13,0.11111,0.88889,0.0,0.22222,2.0
14,0.0,0.45455,0.0,0.0,1.0
15,0.0,0.0,0.0,0.375,0.0
16,0.0,0.10526,0.0,0.0,1.0
17,0.0,0.75,0.0,0.0,2.0
18,0.0,0.0,0.0,0.0,2.0
19,0.0,0.23333,0.0,0.6,1.0
20,0.0,0.30769,0.0,0.0,1.0
21,0.0,0.0,0.0,0.0,2.0
22,0.0,0.66667,0.0,0.0,1.0
23,0.0,0.0,0.0,0.0,2.0
24,0.0,0.0,0.0,0.0,2.0
25,0.0,0.1,0.1,0.0,1.0
26,0.05263,0.31579,0.0,0.05263,1.0
27,0.0,0.36364,0.0,0.0,2.0
28,0.0,0.0,0.0,0.1,2.0
29,0.0,0.0,0.0,0.0,1.0
30,0.0,0.41667,0.08333,0.0,2.0
31,0.0,1.0,0.0,0.0,2.0
32,0.0,0.0,0.0,0.0,2.0
33,0.0,0.6,0.0,0.0,2.0
34,0.0,0.0,0.0,0.0,0.0
35,0.0,0.4,0.12,0.08,1.0
36,0.0,0.0,0.0,0.0,2.0
37,0.0,0.14286,0.0,0.71429,2.0
38,0.0,0.0,0.25,0.0,1.0
39,0.09091,0.04545,0.09091,0.04545,1.0
40,0.0,0.33333,0.0,1.0,1.0
41,0.0,0.0,0.0,0.0,1.0
42,0.05882,0.11765,0.09804,0.33333,1.0
43,0.0,0.0,0.0,0.0,2.0
44,0.05556,0.22222,0.0,0.38889,2.0
45,0.25,0.46667,0.35,0.51667,1.0
46,0.15385,0.07692,0.07692,0.0,2.0
47,0.16129,0.32258,0.03226,0.16129,1.0
48,0.09375,0.15625,0.1875,0.15625,1.0
49,0.04348,0.67391,0.0,0.02174,1.0
50,0.0,0.0,0.0,0.0,0.0
51,0.08333,0.41667,0.0,0.08333,0.0
52,0.0,0.38889,0.05556,0.11111,1.0
53,0.38889,0.27778,0.5,0.0,1.0
54,0.0,0.05128,0.02564,0.12821,2.0
55,0.01754,0.07018,0.0,0.03509,1.0
56,0.0,0.14286,0.0,0.0,1.0
57,0.08333,0.33333,0.16667,0.0,1.0
58,0.0,0.28571,0.0,0.57143,2.0
59,0.0,0.08696,0.04348,0.04348,1.0
60,0.0,0.32258,0.0,0.16129,1.0
61,0.0,0.0,0.0,0.0,1.0
62,0.02778,0.19444,0.02778,0.5,0.0
63,0.0,0.05,0.0,0.0,0.0
64,0.0,0.0,0.0,0.33333,1.0
65,0.0,0.21429,0.14286,0.07143,1.0
66,0.0,0.0,0.2,0.0,2.0
67,0.16667,0.16667,0.0,0.0,2.0
68,0.01235,0.17284,0.02469,0.07407,2.0
69,0.0,0.2,0.0,0.1,1.0
70,0.0,0.0,0.0,0.16667,1.0
71,0.125,0.375,0.0625,0.5625,2.0
72,0.0,0.25,0.0,0.11111,1.0
73,0.025,0.425,0.0,0.075,1.0
74,0.0,0.375,0.0,0.0,2.0
75,0.0,0.0,0.0,0.0,2.0
76,0.0,0.0,0.0,0.0,1.0
77,0.0,0.33333,0.0,0.0,1.0
78,0.25,0.25,0.1875,0.0,2.0
79,0.0,1.0,0.0,0.0,0.0
80,0.0,0.21622,0.02703,0.05405,1.0
81,0.0,0.0,0.0,0.0,0.0
82,0.0,0.0,0.0,0.71429,1.0
83,0.0,0.0,0.0,0.625,2.0
84,0.0,0.0,0.0,1.0,2.0
85,0.0,0.0,0.0,0.5,2.0
86,0.0,0.0,0.5,0.5,2.0
87,0.0,0.18182,0.0,0.0,1.0
88,0.0,0.09091,0.09091,0.09091,1.0
89,0.0,0.16667,0.0,0.0,2.0
90,0.05714,0.2,0.08571,0.11429,1.0
91,0.0,0.25,0.0,0.0,0.0
92,0.09091,0.18182,0.27273,0.09091,1.0
93,0.0,0.28571,0.0,0.0,2.0
94,0.1,0.5,0.0,0.0,2.0
95,0.125,0.25,0.5,0.125,1.0
96,0.0,0.0,0.0,0.0,2.0
97,0.0,0.02273,0.02273,0.13636,1.0
98,0.0,0.0,0.0,0.86364,1.0
99,0.0,0.0,0.0,0.0,2.0
100,0.03947,0.11842,0.02632,0.09211,1.0
101,0.0,0.0,0.0,0.0,1.0
102,0.0,0.22222,0.0,0.0,1.0
103,0.0,0.1,0.0,0.0,1.0
104,0.3,0.3,0.1,0.2,1.0
105,0.0,0.26316,0.05263,0.0,1.0
106,0.0,0.07143,0.0,0.0,1.0
107,0.41026,0.41026,0.55128,0.44872,1.0
108,0.0,0.0,0.0,0.05263,1.0
109,0.03571,0.57143,0.07143,0.14286,1.0
110,0.0,0.14286,0.0,0.14286,1.0
111,0.02326,0.16279,0.02326,0.16279,1.0
112,0.09091,0.27273,0.04545,0.0,1.0
113,0.1,0.15,0.0,0.0,0.0
114,0.07407,0.14815,0.11111,0.33333,2.0
115,0.0,0.125,0.04167,0.125,2.0
116,0.0,0.0,0.0,1.0,1.0
117,0.0,0.0,0.0,0.0,1.0
118,0.04167,0.33333,0.25,0.45833,0.0
119,0.5,0.5,0.0,0.0,2.0
120,0.0,0.55556,0.0,0.0,1.0
121,0.0,0.0,0.125,0.0,2.0
122,0.0,0.0,0.0,0.0,2.0
123,0.0,0.09091,0.0,0.36364,0.0
124,0.0,0.0,0.0,0.0,1.0
125,0.0,0.0,0.0,0.0,1.0
126,0.0,0.0,0.0,0.0,2.0
