,Purificacion,Mal_Olor,Mal_Color,Mal_Sabor,Sedimentos,Prevalencia
0,2.0,0.33333,0.0,0.33333,0.0,4.0
1,2.0,0.0,0.0625,0.0,0.0,5.0
2,2.0,0.11111,0.11111,0.11111,0.0,6.0
3,2.0,0.02222,0.13333,0.02222,0.22222,4.0
4,2.0,0.0,0.5,0.0,0.0,6.0
5,2.0,0.02632,0.28947,0.02632,0.05263,3.0
6,2.0,0.05556,0.66667,0.0,0.0,3.0
7,2.0,0.17391,0.26087,0.04348,0.26087,4.0
8,2.0,0.0,1.0,0.0,0.0,0.0
9,2.0,0.0,0.0,0.0,1.0,0.0
10,2.0,0.0,0.0,0.0,0.75,2.0
11,4.0,0.0,0.125,0.0,0.0,6.0
12,5.0,0.0,0.28571,0.0,0.14286,4.0
13,2.0,0.11111,0.88889,0.0,0.22222,6.0
14,2.0,0.0,0.45455,0.0,0.0,4.0
15,4.0,0.0,0.0,0.0,0.375,0.0
16,2.0,0.0,0.10526,0.0,0.0,2.0
17,2.0,0.0,0.75,0.0,0.0,5.0
18,2.0,0.0,0.0,0.0,0.0,6.0
19,2.0,0.0,0.23333,0.0,0.6,2.0
20,2.0,0.0,0.30769,0.0,0.0,4.0
21,2.0,0.0,0.0,0.0,0.0,6.0
22,2.0,0.0,0.66667,0.0,0.0,4.0
23,2.0,0.0,0.0,0.0,0.0,6.0
24,2.0,0.0,0.0,0.0,0.0,6.0
25,2.0,0.0,0.1,0.1,0.0,4.0
26,2.0,0.05263,0.31579,0.0,0.05263,3.0
27,2.0,0.0,0.36364,0.0,0.0,5.0
28,2.0,0.0,0.0,0.0,0.1,5.0
29,2.0,0.0,0.0,0.0,0.0,2.0
30,2.0,0.0,0.41667,0.08333,0.0,6.0
31,2.0,0.0,1.0,0.0,0.0,6.0
32,2.0,0.0,0.0,0.0,0.0,6.0
33,2.0,0.0,0.6,0.0,0.0,6.0
34,2.0,0.0,0.0,0.0,0.0,1.0
35,2.0,0.0,0.4,0.12,0.08,4.0
36,2.0,0.0,0.0,0.0,0.0,6.0
37,2.0,0.0,0.14286,0.0,0.71429,5.0
38,2.0,0.0,0.0,0.25,0.0,2.0
39,2.0,0.09091,0.04545,0.09091,0.04545,3.0
40,2.0,0.0,0.33333,0.0,1.0,4.0
41,2.0,0.0,0.0,0.0,0.0,3.0
42,2.0,0.05882,0.11765,0.09804,0.33333,2.0
43,2.0,0.0,0.0,0.0,0.0,5.0
44,2.0,0.05556,0.22222,0.0,0.38889,5.0
45,2.0,0.25,0.46667,0.35,0.51667,3.0
46,2.0,0.15385,0.07692,0.07692,0.0,4.0
47,2.0,0.16129,0.32258,0.03226,0.16129,3.0
48,2.0,0.09375,0.15625,0.1875,0.15625,4.0
49,2.0,0.04348,0.67391,0.0,0.02174,3.0
50,2.0,0.0,0.0,0.0,0.0,1.0
51,2.0,0.08333,0.41667,0.0,0.08333,1.0
52,2.0,0.0,0.38889,0.05556,0.11111,3.0
53,2.0,0.38889,0.27778,0.5,0.0,3.0
54,2.0,0.0,0.05128,0.02564,0.12821,6.0
55,2.0,0.01754,0.07018,0.0,0.03509,3.0
56,2.0,0.0,0.14286,0.0,0.0,4.0
57,2.0,0.08333,0.33333,0.16667,0.0,4.0
58,2.0,0.0,0.28571,0.0,0.57143,5.0
59,2.0,0.0,0.08696,0.04348,0.04348,3.0
60,2.0,0.0,0.32258,0.0,0.16129,3.0
61,2.0,0.0,0.0,0.0,0.0,2.0
62,2.0,0.02778,0.19444,0.02778,0.5,2.0
63,4.0,0.0,0.05,0.0,0.0,2.0
64,2.0,0.0,0.0,0.0,0.33333,4.0
65,2.0,0.0,0.21429,0.14286,0.07143,3.0
66,4.0,0.0,0.0,0.2,0.0,5.0
67,2.0,0.16667,0.16667,0.0,0.0,5.0
68,2.0,0.01235,0.17284,0.02469,0.07407,5.0
69,4.0,0.0,0.2,0.0,0.1,4.0
70,2.0,0.0,0.0,0.0,0.16667,4.0
71,2.0,0.125,0.375,0.0625,0.5625,5.0
72,2.0,0.0,0.25,0.0,0.11111,4.0
73,2.0,0.025,0.425,0.0,0.075,3.0
74,2.0,0.0,0.375,0.0,0.0,4.0
75,2.0,0.0,0.0,0.0,0.0,6.0
76,2.0,0.0,0.0,0.0,0.0,2.0
77,2.0,0.0,0.33333,0.0,0.0,4.0
78,2.0,0.25,0.25,0.1875,0.0,5.0
79,2.0,0.0,1.0,0.0,0.0,2.0
80,2.0,0.0,0.21622,0.02703,0.05405,3.0
81,2.0,0.0,0.0,0.0,0.0,0.0
82,2.0,0.0,0.0,0.0,0.71429,2.0
83,4.0,0.0,0.0,0.0,0.625,5.0
84,2.0,0.0,0.0,0.0,1.0,6.0
85,2.0,0.0,0.0,0.0,0.5,4.0
86,2.0,0.0,0.0,0.5,0.5,6.0
87,2.0,0.0,0.18182,0.0,0.0,4.0
88,2.0,0.0,0.09091,0.09091,0.09091,3.0
