,Habitantes/Vivienda,Purificacion,Mal_Olor,Mal_Color,Mal_Sabor,Sedimentos,Prevalencia
0,3.66667,2.0,0.33333,0.0,0.33333,0.0,5.0
1,5.8125,2.0,0.0,0.0625,0.0,0.0,7.0
2,4.55556,2.0,0.11111,0.11111,0.11111,0.0,8.0
3,4.62222,2.0,0.02222,0.13333,0.02222,0.22222,5.0
4,4.5,2.0,0.0,0.5,0.0,0.0,9.0
5,4.38158,2.0,0.02632,0.28947,0.02632,0.05263,4.0
6,4.72222,2.0,0.05556,0.66667,0.0,0.0,4.0
7,4.34783,2.0,0.17391,0.26087,0.04348,0.26087,6.0
8,4.5,2.0,0.0,1.0,0.0,0.0,0.0
9,4.71429,2.0,0.0,0.0,0.0,1.0,1.0
10,4.5,2.0,0.0,0.0,0.0,0.75,3.0
11,5.25,4.0,0.0,0.125,0.0,0.0,9.0
12,4.28571,5.0,0.0,0.28571,0.0,0.14286,6.0
13,5.33333,2.0,0.11111,0.88889,0.0,0.22222,8.0
14,4.09091,2.0,0.0,0.45455,0.0,0.0,6.0
15,4.75,4.0,0.0,0.0,0.0,0.375,0.0
16,4.57895,2.0,0.0,0.10526,0.0,0.0,4.0
17,4.5,2.0,0.0,0.75,0.0,0.0,8.0
18,3.7,2.0,0.0,0.0,0.0,0.0,8.0
19,4.4,2.0,0.0,0.23333,0.0,0.6,3.0
20,4.84615,2.0,0.0,0.30769,0.0,0.0,6.0
21,5.5,2.0,0.0,0.0,0.0,0.0,9.0
22,4.33333,2.0,0.0,0.66667,0.0,0.0,5.0
23,4.0,2.0,0.0,0.0,0.0,0.0,9.0
24,3.0,2.0,0.0,0.0,0.0,0.0,9.0
25,4.6,2.0,0.0,0.1,0.1,0.0,6.0
26,4.52632,2.0,0.05263,0.31579,0.0,0.05263,5.0
27,4.27273,2.0,0.0,0.36364,0.0,0.0,7.0
28,5.65,2.0,0.0,0.0,0.0,0.1,8.0
29,3.5,2.0,0.0,0.0,0.0,0.0,3.0
30,4.25,2.0,0.0,0.41667,0.08333,0.0,8.0
31,4.0,2.0,0.0,1.0,0.0,0.0,9.0
32,4.2,2.0,0.0,0.0,0.0,0.0,9.0
33,3.5,2.0,0.0,0.6,0.0,0.0,9.0
34,3.83333,2.0,0.0,0.0,0.0,0.0,1.0
35,5.4,2.0,0.0,0.4,0.12,0.08,6.0
36,3.0,2.0,0.0,0.0,0.0,0.0,9.0
37,4.42857,2.0,0.0,0.14286,0.0,0.71429,7.0
38,3.5,2.0,0.0,0.0,0.25,0.0,3.0
39,4.31818,2.0,0.09091,0.04545,0.09091,0.04545,4.0
40,5.66667,2.0,0.0,0.33333,0.0,1.0,5.0
41,5.2,2.0,0.0,0.0,0.0,0.0,4.0
42,4.86275,2.0,0.05882,0.11765,0.09804,0.33333,3.0
43,4.55556,2.0,0.0,0.0,0.0,0.0,7.0
44,4.72222,2.0,0.05556,0.22222,0.0,0.38889,7.0
45,4.53333,2.0,0.25,0.46667,0.35,0.51667,4.0
46,4.23077,2.0,0.15385,0.07692,0.07692,0.0,7.0
47,5.19355,2.0,0.16129,0.32258,0.03226,0.16129,4.0
48,6.5,2.0,0.09375,0.15625,0.1875,0.15625,6.0
49,4.3913,2.0,0.04348,0.67391,0.0,0.02174,5.0
50,3.66667,2.0,0.0,0.0,0.0,0.0,1.0
51,3.83333,2.0,0.08333,0.41667,0.0,0.08333,2.0
52,5.05556,2.0,0.0,0.38889,0.05556,0.11111,4.0
53,5.61111,2.0,0.38889,0.27778,0.5,0.0,5.0
54,4.74359,2.0,0.0,0.05128,0.02564,0.12821,9.0
55,4.42105,2.0,0.01754,0.07018,0.0,0.03509,4.0
56,3.85714,2.0,0.0,0.14286,0.0,0.0,6.0
57,3.75,2.0,0.08333,0.33333,0.16667,0.0,5.0
58,4.57143,2.0,0.0,0.28571,0.0,0.57143,8.0
59,4.52174,2.0,0.0,0.08696,0.04348,0.04348,4.0
60,4.67742,2.0,0.0,0.32258,0.0,0.16129,4.0
61,4.0,2.0,0.0,0.0,0.0,0.0,3.0
62,4.36111,2.0,0.02778,0.19444,0.02778,0.5,3.0
63,4.7,4.0,0.0,0.05,0.0,0.0,3.0
64,6.33333,2.0,0.0,0.0,0.0,0.33333,5.0
65,4.85714,2.0,0.0,0.21429,0.14286,0.07143,5.0
66,4.2,4.0,0.0,0.0,0.2,0.0,7.0
67,4.5,2.0,0.16667,0.16667,0.0,0.0,7.0
68,5.14815,2.0,0.01235,0.17284,0.02469,0.07407,7.0
69,4.7,4.0,0.0,0.2,0.0,0.1,6.0
70,5.0,2.0,0.0,0.0,0.0,0.16667,5.0
71,4.25,2.0,0.125,0.375,0.0625,0.5625,7.0
72,4.77778,2.0,0.0,0.25,0.0,0.11111,6.0
73,3.875,2.0,0.025,0.425,0.0,0.075,4.0
74,4.125,2.0,0.0,0.375,0.0,0.0,6.0
75,4.6,2.0,0.0,0.0,0.0,0.0,9.0
76,6.5,2.0,0.0,0.0,0.0,0.0,3.0
