,MaterialTecho,Habitantes/Vivienda,Fuente_Combustible,Cocina_Exclusiva,Fuente_Agua,Ubicacion_Sanitario,Dormitorios/Vivienda,Cuartos/Vivienda,Tipo_Vivienda,Familias_Usando_Cocina,Purificacion,Mal_Olor,Mal_Color,Mal_Sabor,Sedimentos,Ducha,Basura,MaterialPiso,MaterialPared,Tipo_Sanitarios,Cantidad_Sanitarios,Prevalencia
0,3.0,3.66667,2.0,1.0,0.0,1.0,2.66667,4.33333,1.0,1.0,2.0,0.33333,0.0,0.33333,0.0,1.0,1.0,7.0,0.0,1.0,0.66667,5.0
1,0.0,5.8125,3.0,1.0,0.0,1.0,2.3125,3.3125,1.0,1.3125,2.0,0.0,0.0625,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0625,7.0
2,2.0,4.55556,3.0,1.0,0.0,1.0,2.44444,4.44444,1.0,1.0,2.0,0.11111,0.11111,0.11111,0.0,1.0,1.0,3.0,0.0,1.0,1.0,8.0
3,0.0,4.62222,2.0,1.0,0.0,1.0,2.28889,4.15556,1.0,1.0,2.0,0.02222,0.13333,0.02222,0.22222,1.0,1.0,3.0,2.0,1.0,0.97778,5.0
4,0.0,4.5,2.0,1.0,0.0,0.0,2.5,4.0,1.0,1.0,2.0,0.0,0.5,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,9.0
5,0.0,4.38158,3.0,0.96053,0.0,1.0,2.36842,4.03947,1.0,1.01316,2.0,0.02632,0.28947,0.02632,0.05263,0.85526,1.0,3.0,2.0,1.0,1.01316,4.0
6,0.0,4.72222,3.0,0.94444,0.0,1.0,2.38889,4.5,1.0,1.0,2.0,0.05556,0.66667,0.0,0.0,0.94444,1.0,3.0,2.0,1.0,1.0,4.0
7,0.0,4.34783,3.0,1.0,0.0,1.0,2.13043,3.78261,1.0,1.13043,2.0,0.17391,0.26087,0.04348,0.26087,1.0,1.0,3.0,2.0,1.0,1.0,6.0
8,3.0,4.5,3.0,1.0,0.0,1.0,2.25,4.25,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0
9,3.0,4.71429,2.0,1.0,0.0,1.0,2.57143,5.28571,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,0.0,1.0,1.0
10,3.0,4.5,4.0,1.0,0.0,0.0,3.0,4.5,0.0,1.0,2.0,0.0,0.0,0.0,0.75,1.0,1.0,3.0,1.0,0.0,1.0,3.0
11,3.0,5.25,4.0,1.0,0.0,1.0,2.0,3.25,1.0,1.375,4.0,0.0,0.125,0.0,0.0,0.125,1.0,7.0,1.0,3.0,1.0,9.0
12,0.0,4.28571,2.0,1.0,0.0,1.0,2.14286,3.14286,1.0,1.14286,5.0,0.0,0.28571,0.0,0.14286,0.85714,1.0,2.0,2.0,1.0,1.0,6.0
13,0.0,5.33333,2.0,1.0,0.0,1.0,2.66667,4.0,1.0,1.22222,2.0,0.11111,0.88889,0.0,0.22222,0.77778,1.0,3.0,2.0,1.0,1.0,8.0
14,0.0,4.09091,3.0,1.0,0.0,1.0,1.81818,3.81818,1.0,1.0,2.0,0.0,0.45455,0.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,6.0
15,0.0,4.75,2.0,1.0,0.0,0.0,2.0,3.25,0.0,1.0,4.0,0.0,0.0,0.0,0.375,1.0,4.0,3.0,2.0,0.0,1.0,0.0
16,0.0,4.57895,2.0,1.0,0.0,0.0,2.68421,3.68421,1.0,1.05263,2.0,0.0,0.10526,0.0,0.0,1.0,4.0,2.0,2.0,0.0,1.0,4.0
