,MaterialTecho,Habitantes/Vivienda,Uso_Recipiente_Para_Agua,Medidas_Contra_HP,Area_HA_Vereda,Viviendas_Veredas,Hogares_Vereda,Personas_Vereda,Promedio_Dias_Con_Agua,Zancudos,Ratas,Cucarachas,Murcielagos,Antesedentes_CG,Antesedentes_Ulceras,Antesedentes_Gastritis,Convivencia_infeccion,Contaco_Animales_Granja,Comparten_Cubiero,Comparten_Cepillo,Fuente_Combustible,Dias_Ducha,Cocina_Exclusiva,Fuente_Agua,Ubicacion_Sanitario,Dormitorios/Vivienda,Cuartos/Vivienda,Tipo_Vivienda,Familias_Usando_Cocina,Alcantarillado,AnimalDomestico,Cepillado,Purificacion,Mal_Olor,Mal_Color,Mal_Sabor,Sedimentos,LavadoAntesComer,Ducha,Basura,MaterialPiso,MaterialPared,Tipo_Sanitarios,Cantidad_Sanitarios,LavadoPostSanitario,Etnia,Prevalencia
0,3.0,3.66667,1.0,0.0,5732.46133,228.0,233.0,560.0,1.66667,1.0,0.0,0.0,0.0,0.0,0.0,0.33333,0.33333,0.66667,0.0,0.0,2.0,2.0,1.0,0.0,1.0,2.66667,4.33333,1.0,1.0,0.0,1.0,3.0,2.0,0.33333,0.0,0.33333,0.0,1.0,1.0,1.0,7.0,0.0,1.0,0.66667,1.0,3.0,5.0
1,0.0,5.8125,1.0,0.0625,3359.62035,548.625,592.0625,1927.625,2.0,0.0,0.0,0.0625,0.0,0.0,0.0625,0.625,0.0,0.6875,0.0,0.0,3.0,2.0,1.0,0.0,1.0,2.3125,3.3125,1.0,1.3125,0.0,0.8125,2.625,2.0,0.0,0.0625,0.0,0.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0625,1.0,3.0,7.0
2,2.0,4.55556,0.77778,0.0,521.48937,13.88889,14.77778,53.88889,1.77778,1.0,0.33333,0.11111,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.22222,1.0,0.0,1.0,2.44444,4.44444,1.0,1.0,0.0,1.0,2.0,2.0,0.11111,0.11111,0.11111,0.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,1.0,2.0,8.0
3,0.0,4.62222,0.64444,0.0,1312.66312,247.0,265.66667,928.66667,1.77778,0.62222,0.33333,0.51111,0.0,0.0,0.0,0.31111,0.0,0.68889,0.42222,0.04444,2.0,2.0,1.0,0.0,1.0,2.28889,4.15556,1.0,1.0,0.04444,0.77778,2.82222,2.0,0.02222,0.13333,0.02222,0.22222,0.95556,1.0,1.0,3.0,2.0,1.0,0.97778,0.97778,3.0,5.0
4,0.0,4.5,0.5,0.0,1307.11662,516.0,554.0,1869.0,2.0,1.0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.5,0.0,2.0,1.5,1.0,0.0,0.0,2.5,4.0,1.0,1.0,0.0,1.0,3.0,2.0,0.0,0.5,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,9.0
5,0.0,4.38158,0.84211,0.59211,5427.40038,932.0,949.0,2891.0,1.96053,0.40789,0.09211,0.27632,0.03947,0.0,0.0,0.72368,0.01316,0.52632,0.01316,0.03947,3.0,1.89474,0.96053,0.0,1.0,2.36842,4.03947,1.0,1.01316,0.01316,0.68421,2.59459,2.0,0.02632,0.28947,0.02632,0.05263,0.97368,0.85526,1.0,3.0,2.0,1.0,1.01316,0.94737,3.0,4.0
6,0.0,4.72222,0.88889,0.72222,7570.17105,1327.72222,1359.38889,4262.16667,2.0,0.55556,0.0,0.38889,0.0,0.0,0.0,0.5,0.0,0.61111,0.0,0.0,3.0,2.0,0.94444,0.0,1.0,2.38889,4.5,1.0,1.0,0.0,0.77778,2.44444,2.0,0.05556,0.66667,0.0,0.0,1.0,0.94444,1.0,3.0,2.0,1.0,1.0,1.0,3.0,4.0
7,0.0,4.34783,0.86957,0.0,447.7774,109.0,111.0,378.0,1.82609,0.78261,0.13043,0.3913,0.04348,0.0,0.0,0.30435,0.04348,0.69565,0.34783,0.04348,3.0,2.0,1.0,0.0,1.0,2.13043,3.78261,1.0,1.13043,0.04348,0.95652,2.82609,2.0,0.17391,0.26087,0.04348,0.26087,1.0,1.0,1.0,3.0,2.0,1.0,1.0,0.95652,3.0,6.0
8,3.0,4.5,1.0,1.0,8060.13066,1725.0,1770.0,5573.0,2.0,0.5,0.0,0.25,0.0,0.0,0.0,0.75,0.0,0.5,0.25,0.0,3.0,1.75,1.0,0.0,1.0,2.25,4.25,1.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,0.0
9,3.0,4.71429,0.71429,0.14286,602.89604,6.0,6.0,27.0,1.85714,0.85714,0.0,0.71429,0.0,0.0,0.0,0.42857,0.0,0.71429,0.28571,0.0,2.0,2.0,1.0,0.0,1.0,2.57143,5.28571,0.0,1.0,1.0,0.71429,2.57143,2.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,0.0,1.0,1.0,2.0,1.0
